name,type_of_food,district,rating,total_ratings,price_level,takeout,delivery,dine_in,wheelchair_accessible_entrance,free_street_parking,population_density
Swadishta,American,Spandau,4.8,467,NO_PRICE_DATA,True,True,True,False,True,2.798
All Seasons,American,Spandau,4.3,9680,PRICE_LEVEL_MODERATE,True,False,True,True,True,2.798
Pizzeria Alte Forno,American,Spandau,3.9,571,NO_PRICE_DATA,True,True,True,True,True,2.798
Café Barfly,American,Spandau,4.6,1494,PRICE_LEVEL_MODERATE,True,False,True,False,True,2.798
Stockwerk-Burger,American,Spandau,4.4,164,NO_PRICE_DATA,True,True,True,True,False,2.798
Peking Perle,American,Spandau,4.3,38,NO_PRICE_DATA,True,True,True,False,False,2.798
Steakhaus Nonnendamm,American,Spandau,4.6,651,PRICE_LEVEL_MODERATE,True,True,True,True,True,2.798
Restaurant Stammhaus,American,Spandau,4.4,937,PRICE_LEVEL_MODERATE,True,True,True,True,True,2.798
PRIME Restaurant & Bar - Berlin City West,American,Spandau,3.7,11,NO_PRICE_DATA,True,False,True,True,False,2.798
Bowen's BBQ,American,Spandau,4.7,26,NO_PRICE_DATA,True,False,True,False,False,2.798
Goldhorn-Beefclub,American,Spandau,4.6,757,PRICE_LEVEL_VERY_EXPENSIVE,True,False,True,True,True,2.798
Perfect Cook,American,Spandau,4.9,21,PRICE_LEVEL_MODERATE,True,True,True,False,False,2.798
Elia,American,Spandau,4.5,378,NO_PRICE_DATA,True,True,True,True,True,2.798
Trattoria Alberto,American,Spandau,4.5,941,PRICE_LEVEL_MODERATE,True,False,True,True,True,2.798
Kentucky Fried Chicken,American,Spandau,3.4,2700,PRICE_LEVEL_MODERATE,True,True,True,True,True,2.798
Burgerzimmer Spandau,American,Spandau,3.6,479,PRICE_LEVEL_MODERATE,True,True,True,True,False,2.798
Restaurant*Bar MeilenStein,American,Spandau,4.5,857,PRICE_LEVEL_MODERATE,True,True,True,True,True,2.798
Peter Pane,American,Steglitz-Zehlendorf,4.3,3738,PRICE_LEVEL_MODERATE,True,True,True,True,False,3.027
Four Fellows' Berlin,American,Steglitz-Zehlendorf,4.8,59,NO_PRICE_DATA,True,True,True,False,False,3.027
Three Buddies,American,Steglitz-Zehlendorf,4.2,187,NO_PRICE_DATA,True,True,True,False,False,3.027
Three Dudes Next Door,American,Steglitz-Zehlendorf,4.2,90,NO_PRICE_DATA,True,True,True,False,False,3.027
Burgermeister Schloßstraße,American,Steglitz-Zehlendorf,4.6,875,NO_PRICE_DATA,True,True,True,True,False,3.027
Schöne Burger,American,Steglitz-Zehlendorf,4.8,51,NO_PRICE_DATA,True,True,True,False,True,3.027
The Mood Burger,American,Steglitz-Zehlendorf,4.3,171,NO_PRICE_DATA,True,True,True,False,False,3.027
Boysburger,American,Steglitz-Zehlendorf,4.6,130,NO_PRICE_DATA,True,True,True,False,False,3.027
reallygoodlife,American,Steglitz-Zehlendorf,4.8,607,PRICE_LEVEL_MODERATE,True,True,True,True,False,3.027
Schnitzery Steglitz,American,Steglitz-Zehlendorf,4.8,630,NO_PRICE_DATA,True,True,True,False,False,3.027
doppelt Käse,American,Steglitz-Zehlendorf,4.7,512,PRICE_LEVEL_MODERATE,True,True,False,False,True,3.027
Zur Bratpfanne,American,Steglitz-Zehlendorf,4.6,3366,PRICE_LEVEL_INEXPENSIVE,True,False,True,False,False,3.027
Sale e Pane - Berlin,American,Steglitz-Zehlendorf,4.7,923,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
MA'LOA Poké Bowl,American,Steglitz-Zehlendorf,4.3,215,PRICE_LEVEL_MODERATE,True,True,True,False,False,3.027
SANDWICHart CAFE I Steglitz,American,Steglitz-Zehlendorf,4.4,142,NO_PRICE_DATA,True,True,True,True,False,3.027
It's Mo,American,Steglitz-Zehlendorf,3.9,454,NO_PRICE_DATA,True,True,True,False,False,3.027
Flame Diner,American,Steglitz-Zehlendorf,4.4,2106,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Grillhütte 46 Berlin,American,Steglitz-Zehlendorf,4.8,76,NO_PRICE_DATA,True,True,True,True,True,3.027
Tomasa Lichterfelde,American,Steglitz-Zehlendorf,4.4,2411,PRICE_LEVEL_MODERATE,True,False,True,False,True,3.027
BLOCK HOUSE Berlin Zehlendorf,American,Steglitz-Zehlendorf,4.4,2153,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Burger City Zehlendorf,American,Steglitz-Zehlendorf,4.6,64,NO_PRICE_DATA,True,True,True,False,False,3.027
Burgermeister Zehlendorf Eiche,American,Steglitz-Zehlendorf,4.4,42,NO_PRICE_DATA,True,True,True,False,False,3.027
Eierschale Dahlem,American,Steglitz-Zehlendorf,4.3,2095,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.027
TOMASA Friedenau,American,Steglitz-Zehlendorf,4.3,713,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Burger Vision Smashburger,American,Steglitz-Zehlendorf,4.3,95,NO_PRICE_DATA,True,True,True,False,True,3.027
Buffet Restaurant Royal Garden Berlin,American,Steglitz-Zehlendorf,4.4,5385,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Hongkong Canteen,American,Steglitz-Zehlendorf,4.4,254,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.027
Bobsek Burger,American,Steglitz-Zehlendorf,4.4,210,NO_PRICE_DATA,True,True,True,False,True,3.027
Tomasa Zehlendorf,American,Steglitz-Zehlendorf,4.1,1722,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.027
Just a Little Crush,American,Steglitz-Zehlendorf,4.5,427,PRICE_LEVEL_MODERATE,True,False,True,True,False,3.027
Nirwana,American,Steglitz-Zehlendorf,4.4,1739,PRICE_LEVEL_MODERATE,True,True,True,True,False,3.027
Amma | Steglitz,American,Steglitz-Zehlendorf,4.7,404,PRICE_LEVEL_MODERATE,True,True,True,True,False,3.027
Jungbluth,American,Steglitz-Zehlendorf,4.7,773,PRICE_LEVEL_EXPENSIVE,False,False,True,False,False,3.027
Burger City Großbeerenstraße,American,Steglitz-Zehlendorf,4.5,371,NO_PRICE_DATA,True,True,True,False,False,3.027
Hazienda,American,Steglitz-Zehlendorf,4.3,2174,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Ghost Burger & GB Gemüse Döner,American,Steglitz-Zehlendorf,4.9,114,NO_PRICE_DATA,True,False,True,False,True,3.027
Celtic Cottage,American,Steglitz-Zehlendorf,4.5,1619,PRICE_LEVEL_MODERATE,True,False,True,False,False,3.027
Cataleya´s Kitchen,American,Steglitz-Zehlendorf,4.9,17,NO_PRICE_DATA,True,True,True,True,True,3.027
REDO XXL Berlin,American,Steglitz-Zehlendorf,4.7,2641,PRICE_LEVEL_MODERATE,True,False,True,True,False,3.027
ASADO Steakhaus,American,Steglitz-Zehlendorf,4.4,1146,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.027
Alter Krug Dahlem,American,Steglitz-Zehlendorf,4.2,2520,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.027
Peter Pane,American,Steglitz-Zehlendorf,4.1,560,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.027
Smash House Smashburger,American,Steglitz-Zehlendorf,4.8,100,NO_PRICE_DATA,True,True,True,False,False,3.027
Burgermeister Potsdam,American,Steglitz-Zehlendorf,4.7,959,NO_PRICE_DATA,True,True,True,True,False,3.027
Burger King,American,Steglitz-Zehlendorf,2.6,1777,PRICE_LEVEL_MODERATE,True,True,True,True,True,3.027
PETER PANE Burgergrill & Bar,American,Steglitz-Zehlendorf,4.4,5491,PRICE_LEVEL_MODERATE,True,False,True,True,False,3.027
Crispy‘s Chicken Zehlendorf,American,Steglitz-Zehlendorf,4.7,534,NO_PRICE_DATA,True,True,True,False,True,3.027
il Brunello,American,Steglitz-Zehlendorf,4.8,397,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Matador,American,Steglitz-Zehlendorf,4.3,1797,PRICE_LEVEL_MODERATE,True,False,True,True,False,3.027
La Gondola Due,American,Steglitz-Zehlendorf,4.5,705,PRICE_LEVEL_EXPENSIVE,True,True,True,True,False,3.027
Linden Burger Potsdam,American,Steglitz-Zehlendorf,4.7,645,PRICE_LEVEL_MODERATE,True,True,True,False,False,3.027
FRIEDRICH BURGER,American,Steglitz-Zehlendorf,4.6,558,NO_PRICE_DATA,True,True,True,False,False,3.027
Burgerzimmer XII Berlin,American,Steglitz-Zehlendorf,3.6,227,NO_PRICE_DATA,True,True,True,False,False,3.027
Fanous,American,Steglitz-Zehlendorf,4.4,2093,PRICE_LEVEL_MODERATE,True,True,True,True,False,3.027
Osteria Maria,American,Steglitz-Zehlendorf,4.7,1910,PRICE_LEVEL_MODERATE,True,False,True,False,True,3.027
Liberty Pizza,American,Steglitz-Zehlendorf,4.6,810,PRICE_LEVEL_INEXPENSIVE,True,False,True,False,True,3.027
Bernsteiners Burger- und Speisemanufaktur,American,Steglitz-Zehlendorf,4.6,316,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Burger Truck Teltow,American,Steglitz-Zehlendorf,4.9,135,NO_PRICE_DATA,True,False,True,True,True,3.027
Efes Grill,American,Steglitz-Zehlendorf,4.4,608,PRICE_LEVEL_INEXPENSIVE,True,False,True,False,True,3.027
Sando Street Burger Teltow,American,Steglitz-Zehlendorf,4.2,41,NO_PRICE_DATA,True,True,True,False,False,3.027
BurgerVision Smashburger,American,Tempelhof-Schöneberg,4.7,223,NO_PRICE_DATA,True,True,True,False,False,6.708
Burgers Berlin,American,Tempelhof-Schöneberg,4.5,1041,PRICE_LEVEL_MODERATE,True,True,True,False,False,6.708
Devil's Smashburger,American,Tempelhof-Schöneberg,4.4,147,NO_PRICE_DATA,True,True,True,False,False,6.708
Zsa Zsa Burger,American,Tempelhof-Schöneberg,4.6,2833,PRICE_LEVEL_MODERATE,True,False,True,False,False,6.708
BurgerZone,American,Tempelhof-Schöneberg,4.3,1719,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,6.708
Schöne Burger,American,Tempelhof-Schöneberg,4.4,698,PRICE_LEVEL_MODERATE,True,True,True,False,False,6.708
FLIP N FRY,American,Tempelhof-Schöneberg,4.6,180,NO_PRICE_DATA,True,True,True,False,False,6.708
Balli Burger,American,Tempelhof-Schöneberg,4.1,663,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,6.708
Juicy Smash Burger,American,Tempelhof-Schöneberg,4.1,212,NO_PRICE_DATA,True,True,True,True,False,6.708
Crispy's Chicken Berlin (Schöneberg),American,Tempelhof-Schöneberg,4.6,379,NO_PRICE_DATA,True,True,True,False,False,6.708
Burger Pulse,American,Tempelhof-Schöneberg,4.8,624,NO_PRICE_DATA,True,True,True,False,False,6.708
Simo Smash Burger,American,Tempelhof-Schöneberg,4.6,399,NO_PRICE_DATA,True,True,True,False,False,6.708
Coffee Pony,American,Tempelhof-Schöneberg,4.9,1101,PRICE_LEVEL_MODERATE,True,True,True,True,False,6.708
.,American,Tempelhof-Schöneberg,4.6,799,NO_PRICE_DATA,True,True,True,False,True,6.708
PapalaCup,American,Tempelhof-Schöneberg,4.7,718,PRICE_LEVEL_MODERATE,True,False,True,False,False,6.708
Risa Chicken,American,Tempelhof-Schöneberg,4.5,3541,PRICE_LEVEL_INEXPENSIVE,True,True,True,True,False,6.708
Meyman Gourmet,American,Tempelhof-Schöneberg,4.6,2039,PRICE_LEVEL_MODERATE,True,True,True,True,False,6.708
Burger Hütte Berlin,American,Tempelhof-Schöneberg,4.3,409,PRICE_LEVEL_MODERATE,True,True,True,False,False,6.708
Burger Promenade,American,Tempelhof-Schöneberg,4.6,138,NO_PRICE_DATA,True,True,True,False,False,6.708
City Chicken,American,Tempelhof-Schöneberg,4.4,971,PRICE_LEVEL_MODERATE,True,False,True,True,True,6.708
"Nahmitzer Damm 4, 12277 Berlin",American,Tempelhof-Schöneberg,3.7,3,NO_PRICE_DATA,True,False,True,False,False,6.708
Dede Chicago Stekhouse,American,Tempelhof-Schöneberg,4.6,658,PRICE_LEVEL_EXPENSIVE,True,False,False,True,False,6.708
Simo Smash Burger,American,Tempelhof-Schöneberg,4.2,547,NO_PRICE_DATA,True,True,True,False,True,6.708
Kentucky Fried Chicken,American,Tempelhof-Schöneberg,3.5,3024,PRICE_LEVEL_MODERATE,True,True,True,True,True,6.708
Miu Burger Mariendorf,American,Tempelhof-Schöneberg,4.3,6,NO_PRICE_DATA,True,True,True,False,False,6.708
BrewDog DogTap Berlin,American,Tempelhof-Schöneberg,4.0,2573,PRICE_LEVEL_MODERATE,True,True,True,True,True,6.708
BURGER KING Deutschland GmbH,American,Tempelhof-Schöneberg,3.5,427,PRICE_LEVEL_MODERATE,True,True,True,True,True,6.708
Loco Chicken Mariendorf,American,Tempelhof-Schöneberg,4.5,59,NO_PRICE_DATA,True,True,True,False,False,6.708
"Mustang Restaurant, Cafe & Cocktailbar | Italienische Spezialitäten & Steakhaus",American,Tempelhof-Schöneberg,4.7,1579,PRICE_LEVEL_MODERATE,True,True,True,True,True,6.708
Call to Eat Mariendorf Berlin,American,Tempelhof-Schöneberg,4.0,226,NO_PRICE_DATA,True,True,True,False,False,6.708
Golt'z Burger,American,Tempelhof-Schöneberg,4.4,521,PRICE_LEVEL_MODERATE,True,True,True,True,False,6.708
Mary's Curry-Point (Imbiss) - Seit 1972 in Berlin / Lichtenrade,American,Tempelhof-Schöneberg,4.7,76,PRICE_LEVEL_INEXPENSIVE,True,False,True,True,True,6.708
BigBoy Smash Burger,American,Tempelhof-Schöneberg,4.8,42,NO_PRICE_DATA,True,True,True,False,False,6.708
Hühnerwald / chefburger,American,Tempelhof-Schöneberg,4.5,155,NO_PRICE_DATA,True,True,True,True,True,6.708
Burgermeister Akazienstraße,American,Tempelhof-Schöneberg,4.3,153,NO_PRICE_DATA,True,True,True,False,False,6.708
Coffee & Bagel House,American,Tempelhof-Schöneberg,4.9,652,NO_PRICE_DATA,True,True,True,True,False,6.708
Miloburger,American,Tempelhof-Schöneberg,4.2,58,NO_PRICE_DATA,True,True,True,False,False,6.708
Chicken Club Halal Restaurant,American,Tempelhof-Schöneberg,4.4,1585,PRICE_LEVEL_MODERATE,True,False,True,True,True,6.708
Croque Affair Berlin,American,Tempelhof-Schöneberg,5.0,1,NO_PRICE_DATA,True,True,True,False,False,6.708
Poppy Burger - Neukölln,American,Neukölln,4.9,433,NO_PRICE_DATA,True,True,True,True,True,7.345
BANG BOOM BURGER,American,Neukölln,4.7,704,NO_PRICE_DATA,True,True,True,True,False,7.345
Burger Manufaktur,American,Neukölln,4.2,202,PRICE_LEVEL_INEXPENSIVE,True,True,True,True,False,7.345
Smack Burger,American,Neukölln,4.7,37,NO_PRICE_DATA,True,True,True,False,False,7.345
Burger Vision Smashburger,American,Neukölln,4.7,270,NO_PRICE_DATA,True,True,True,True,False,7.345
Burgermeister Hermannplatz,American,Neukölln,4.7,465,NO_PRICE_DATA,True,True,True,True,False,7.345
Berlinburger International,American,Neukölln,4.4,2964,PRICE_LEVEL_MODERATE,True,True,True,False,False,7.345
Harry's Sliders,American,Neukölln,4.5,39,NO_PRICE_DATA,True,True,True,False,False,7.345
DR BURGER,American,Neukölln,4.8,656,NO_PRICE_DATA,True,True,True,False,False,7.345
Three Dudes Next Door,American,Neukölln,4.4,338,NO_PRICE_DATA,True,True,True,False,False,7.345
BURGER 44,American,Neukölln,4.3,281,NO_PRICE_DATA,True,True,True,False,False,7.345
BurgerCity Flughsfenstr,American,Neukölln,4.1,127,NO_PRICE_DATA,True,True,True,False,False,7.345
Big Selo Burger,American,Neukölln,4.4,1224,PRICE_LEVEL_INEXPENSIVE,True,True,True,True,True,7.345
Simbur Frühstückshaus und Burger,American,Neukölln,4.6,365,PRICE_LEVEL_INEXPENSIVE,True,True,True,True,False,7.345
Burgees Smashburger,American,Neukölln,4.5,155,NO_PRICE_DATA,True,True,True,True,False,7.345
Burger Vision Smashburger,American,Neukölln,4.4,50,NO_PRICE_DATA,True,True,True,False,False,7.345
Haci Baba Burger,American,Neukölln,4.3,58,NO_PRICE_DATA,True,False,True,False,False,7.345
Risa Chicken,American,Neukölln,4.7,4124,PRICE_LEVEL_MODERATE,True,True,True,True,False,7.345
Kollektiv Kitchen,American,Neukölln,3.8,28,NO_PRICE_DATA,True,True,True,False,False,7.345
LoveBurger,American,Neukölln,4.8,376,NO_PRICE_DATA,True,True,True,False,False,7.345
"BurgerCrew ""Homemade Burger Grill""",American,Neukölln,4.1,255,PRICE_LEVEL_MODERATE,True,True,True,False,False,7.345
BURGER TOR,American,Neukölln,5.0,21,NO_PRICE_DATA,True,True,True,False,False,7.345
Clerk's Burger,American,Neukölln,4.9,48,NO_PRICE_DATA,True,True,True,False,True,7.345
Bollywood Bytes,American,Neukölln,4.9,264,NO_PRICE_DATA,True,True,True,False,True,7.345
Afro-Base Interl. Kitchen Berlin,American,Neukölln,4.4,266,NO_PRICE_DATA,True,True,True,False,True,7.345
Burger4Burger,American,Neukölln,4.9,348,NO_PRICE_DATA,True,True,True,True,True,7.345
Amrsari Restaurant Berlin,American,Neukölln,4.8,864,PRICE_LEVEL_MODERATE,True,True,True,True,True,7.345
It’s a long story,American,Neukölln,4.6,690,PRICE_LEVEL_MODERATE,True,True,True,False,True,7.345
Burgermeister,American,Neukölln,4.5,578,NO_PRICE_DATA,True,True,True,True,False,7.345
Loop's Curry & Burger,American,Neukölln,4.3,195,NO_PRICE_DATA,True,True,True,True,True,7.345
Kentucky Fried Chicken,American,Neukölln,3.7,1444,PRICE_LEVEL_MODERATE,True,True,True,True,True,7.345
Loco Chicken Hermannplatz,American,Neukölln,4.9,109,NO_PRICE_DATA,True,True,True,False,False,7.345
Sweet Jamaica Food,American,Neukölln,4.9,130,NO_PRICE_DATA,True,False,True,False,False,7.345
Ankerklause,American,Neukölln,4.4,2965,PRICE_LEVEL_INEXPENSIVE,False,False,True,True,False,7.345
Café Brick Time,American,Neukölln,4.7,1143,PRICE_LEVEL_MODERATE,True,True,True,False,False,7.345
Fourty Years Kitchen,American,Neukölln,4.8,825,NO_PRICE_DATA,True,True,True,True,True,7.345
Mr. Grill Berlin,American,Neukölln,4.9,2046,NO_PRICE_DATA,True,True,True,False,False,7.345
The Eight,American,Neukölln,2.4,99,NO_PRICE_DATA,True,True,True,False,False,7.345
Burger Area,American,Neukölln,4.4,274,NO_PRICE_DATA,True,True,True,False,False,7.345
Big city Pizza-Burger nähe von Rathaus Neukölln,American,Neukölln,4.0,11,NO_PRICE_DATA,True,True,True,False,False,7.345
Tasty Beef,American,Neukölln,4.3,275,PRICE_LEVEL_MODERATE,True,True,True,True,True,7.345
Rivado Steakhaus - Berlin-Neukölln,American,Neukölln,3.9,187,NO_PRICE_DATA,True,True,True,True,False,7.345
Eins44,American,Neukölln,4.6,684,PRICE_LEVEL_EXPENSIVE,False,False,True,True,False,7.345
Deseado Steakhaus,American,Neukölln,4.6,1631,PRICE_LEVEL_MODERATE,True,False,True,True,True,7.345
Ägäis Fisch Restaurant,American,Neukölln,4.9,66,NO_PRICE_DATA,True,True,True,True,False,7.345
Steakhaus Barbecue Berlin.,American,Neukölln,4.3,923,PRICE_LEVEL_MODERATE,True,True,True,True,True,7.345
El Toro,American,Neukölln,4.1,1066,PRICE_LEVEL_INEXPENSIVE,True,True,True,True,True,7.345
Emily Pizza & مناقيش,American,Neukölln,4.8,19,NO_PRICE_DATA,True,True,True,False,False,7.345
Britzer Mühle,American,Neukölln,4.3,2783,PRICE_LEVEL_MODERATE,True,False,True,False,True,7.345
Mendoza,American,Neukölln,4.7,876,PRICE_LEVEL_MODERATE,True,True,True,True,True,7.345
Munzur Fish & Beef Club Restaurant,American,Neukölln,4.7,163,NO_PRICE_DATA,True,True,True,False,True,7.345
KFC,American,Neukölln,2.4,349,PRICE_LEVEL_MODERATE,True,True,True,True,False,7.345
Schmidt and Lehmann,American,Neukölln,4.4,136,NO_PRICE_DATA,True,False,True,False,False,7.345
The Mood Burger,American,Neukölln,4.2,605,NO_PRICE_DATA,True,True,True,True,False,7.345
New Outlaw Café & Kitchenbar,American,Neukölln,4.3,419,PRICE_LEVEL_MODERATE,True,False,True,True,True,7.345
Burger Zimmer,American,Neukölln,4.0,684,PRICE_LEVEL_MODERATE,True,True,True,True,True,7.345
Burger Vision Smashburger,American,Neukölln,4.7,234,NO_PRICE_DATA,True,True,True,True,True,7.345
Zum Alten Krug,American,Neukölln,4.5,1361,PRICE_LEVEL_MODERATE,True,True,True,False,True,7.345
Wan-Loi Restaurant,American,Neukölln,4.6,637,PRICE_LEVEL_MODERATE,True,False,True,True,True,7.345
Pizza Man Berlin,American,Neukölln,4.2,113,NO_PRICE_DATA,True,True,True,False,False,7.345
Burger BomB. by Street Food Trailer Catering,American,Neukölln,4.9,18,NO_PRICE_DATA,True,False,True,False,False,7.345
Il Nuovo,American,Neukölln,4.6,225,NO_PRICE_DATA,True,False,True,True,True,7.345
SMASH IT! - Burger Restaurant,American,Treptow-Köpenick,4.9,1288,NO_PRICE_DATA,True,True,True,True,True,1.753
Neue Republik Reger,American,Treptow-Köpenick,4.6,641,PRICE_LEVEL_MODERATE,True,True,True,False,True,1.753
Burger Home,American,Treptow-Köpenick,4.5,95,NO_PRICE_DATA,True,True,True,False,True,1.753
Manhattan Burger Berlin-Köpenick,American,Treptow-Köpenick,4.2,82,NO_PRICE_DATA,True,True,True,False,False,1.753
THRONBURGER,American,Treptow-Köpenick,4.7,462,PRICE_LEVEL_MODERATE,True,True,True,False,False,1.753
Burger Junkys,American,Treptow-Köpenick,4.5,496,PRICE_LEVEL_MODERATE,True,True,True,True,True,1.753
StaatsBurger,American,Treptow-Köpenick,4.7,500,NO_PRICE_DATA,True,True,True,False,True,1.753
Pizza - Desha Lokanta,American,Treptow-Köpenick,4.6,944,PRICE_LEVEL_INEXPENSIVE,True,True,True,True,True,1.753
Klipper Segelschiffrestaurant,American,Treptow-Köpenick,4.0,2499,PRICE_LEVEL_EXPENSIVE,True,False,True,False,True,1.753
Kulturhaus Insel Berlin,American,Treptow-Köpenick,4.4,1918,PRICE_LEVEL_MODERATE,True,False,True,True,False,1.753
Burger Vision Smashburger,American,Treptow-Köpenick,4.8,329,NO_PRICE_DATA,True,True,True,True,False,1.753
Burger City Köpenick,American,Treptow-Köpenick,4.2,299,NO_PRICE_DATA,True,True,True,False,True,1.753
American Diner / Down Town Bus,American,Treptow-Köpenick,4.3,45,NO_PRICE_DATA,True,True,True,False,False,1.753
Kid Creole,American,Treptow-Köpenick,4.8,1144,PRICE_LEVEL_MODERATE,True,False,True,True,True,1.753
Batman Burger Nudeln Salate,American,Treptow-Köpenick,4.7,316,PRICE_LEVEL_INEXPENSIVE,True,True,True,True,True,1.753
Down Town Diner & Motel Müggelheim,American,Treptow-Köpenick,4.7,1484,PRICE_LEVEL_MODERATE,True,True,True,True,True,1.753
ADLER BURGER,American,Treptow-Köpenick,4.1,316,PRICE_LEVEL_MODERATE,True,True,True,True,False,1.753
Zum Gletscher,American,Treptow-Köpenick,4.7,157,PRICE_LEVEL_MODERATE,True,True,True,True,True,1.753
S1 Spreeburger,American,Treptow-Köpenick,4.6,339,PRICE_LEVEL_MODERATE,True,True,True,False,True,1.753
Ratskeller Kopenick,American,Treptow-Köpenick,4.5,2877,PRICE_LEVEL_MODERATE,False,False,True,True,False,1.753
Burger Royal,American,Treptow-Köpenick,1.6,117,NO_PRICE_DATA,True,True,True,False,False,1.753
Mauna Kea • Frühstückscafé • Lunch • Café,American,Treptow-Köpenick,4.5,1667,PRICE_LEVEL_MODERATE,True,False,True,False,True,1.753
Restaurant Lehmofen,American,Treptow-Köpenick,4.5,1271,PRICE_LEVEL_MODERATE,True,True,True,True,True,1.753
Beef Burger,American,Treptow-Köpenick,4.0,655,PRICE_LEVEL_MODERATE,True,True,True,False,True,1.753
Ausflugslokal Mutter Lustig,American,Treptow-Köpenick,4.3,1925,PRICE_LEVEL_MODERATE,True,True,True,True,False,1.753
Restaurant Köpenicker Seeterrassen,American,Treptow-Köpenick,4.3,1965,PRICE_LEVEL_MODERATE,True,False,True,True,True,1.753
Ajanta,American,Treptow-Köpenick,4.7,1280,PRICE_LEVEL_INEXPENSIVE,True,False,True,False,True,1.753
Kentucky Fried Chicken,American,Treptow-Köpenick,3.8,2047,PRICE_LEVEL_MODERATE,True,True,True,True,True,1.753
Artemis,American,Treptow-Köpenick,4.7,2076,PRICE_LEVEL_MODERATE,True,False,True,True,True,1.753
Trattoria Tresoli,American,Treptow-Köpenick,4.6,2885,PRICE_LEVEL_MODERATE,True,False,True,False,True,1.753
Jimmy’s Pizza,American,Treptow-Köpenick,4.1,347,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,1.753
Sandmann,American,Treptow-Köpenick,4.6,1422,PRICE_LEVEL_MODERATE,True,True,True,False,True,1.753
Steakhaus-Paris-Rom-Erkner (Neue Bewirtschaftung seit 01.04.25),American,Treptow-Köpenick,4.5,706,PRICE_LEVEL_MODERATE,True,False,True,True,True,1.753
Aao Ji Restaurant - Altstadt Köpenick,American,Treptow-Köpenick,4.7,915,PRICE_LEVEL_MODERATE,True,True,True,True,True,1.753
Wieduwilt und Krause | Alpenländische Haute Cuisine | Catering und Lieferservice,American,Treptow-Köpenick,4.9,318,NO_PRICE_DATA,True,True,True,False,True,1.753
Evelin’s an der Müggelspreepromenade- Cafe & Restaurant - Goed Catering BE,American,Treptow-Köpenick,4.5,596,PRICE_LEVEL_MODERATE,True,False,True,True,True,1.753
Restaurant und Bar Luise,American,Treptow-Köpenick,4.0,1048,PRICE_LEVEL_MODERATE,True,False,True,True,False,1.753
Neues Grill Haus Döner,American,Treptow-Köpenick,4.2,94,NO_PRICE_DATA,True,False,True,False,True,1.753
Steakhaus Barbecue Mahlsdorf,American,Treptow-Köpenick,4.3,1182,PRICE_LEVEL_MODERATE,True,True,True,False,True,1.753
burgerme Berlin Hellersdorf,American,Treptow-Köpenick,4.3,965,PRICE_LEVEL_MODERATE,True,True,True,True,False,1.753
Restaurant Asteria Köpenick,American,Treptow-Köpenick,4.8,2213,PRICE_LEVEL_MODERATE,True,False,True,True,True,1.753
Deni's Mix Box,American,Treptow-Köpenick,5.0,3,NO_PRICE_DATA,True,True,True,False,False,1.753
Steakhaus Marzahn,American,Marzahn-Hellersdorf,4.5,1734,PRICE_LEVEL_MODERATE,True,False,True,True,True,4.723
Burger Vision Smashburger,American,Marzahn-Hellersdorf,4.3,125,NO_PRICE_DATA,True,True,True,True,False,4.723
Chicky Chick Berlin Marzahn Nord,American,Marzahn-Hellersdorf,2.9,20,NO_PRICE_DATA,True,True,True,False,False,4.723
Burgerhaus Laila,American,Marzahn-Hellersdorf,4.5,352,PRICE_LEVEL_MODERATE,True,True,True,True,True,4.723
burgerme Berlin Marzahn Nord,American,Marzahn-Hellersdorf,4.0,132,PRICE_LEVEL_MODERATE,True,True,True,False,True,4.723
LABRA BURGER,American,Marzahn-Hellersdorf,4.4,203,NO_PRICE_DATA,True,True,True,False,False,4.723
Chico's Döner und Burger,American,Marzahn-Hellersdorf,4.6,1912,PRICE_LEVEL_INEXPENSIVE,True,False,True,True,True,4.723
Smash Burgers,American,Marzahn-Hellersdorf,5.0,9,NO_PRICE_DATA,True,True,True,False,False,4.723
1Burger Berlin Marzahn Nord,American,Marzahn-Hellersdorf,4.0,1,NO_PRICE_DATA,False,True,False,False,False,4.723
MBurger,American,Marzahn-Hellersdorf,3.2,20,NO_PRICE_DATA,True,False,True,True,False,4.723
Ristorante Pizzeria Marzano,American,Marzahn-Hellersdorf,4.4,1108,PRICE_LEVEL_MODERATE,True,False,True,True,True,4.723
Street Food 4 you,American,Marzahn-Hellersdorf,5.0,1,NO_PRICE_DATA,True,True,True,False,False,4.723
