name,type_of_food,district,rating,total_ratings,price_level,takeout,delivery,dine_in,wheelchair_accessible_entrance,free_street_parking,population_density
Madang Restaurant,Korean,Mitte,4.6,618,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
MOKPO Berlin,Korean,Mitte,4.9,125,NO_PRICE_DATA,True,False,True,False,False,10.08
Mercosy,Korean,Mitte,4.7,306,PRICE_LEVEL_MODERATE,True,True,True,False,True,10.08
Seoul Taste Lieferservice,Korean,Mitte,4.2,25,NO_PRICE_DATA,False,True,False,False,False,10.08
SWORD MASTER NOODLE,Korean,Mitte,4.7,1029,NO_PRICE_DATA,True,True,True,False,False,10.08
KOKIO,Korean,Mitte,4.5,2215,PRICE_LEVEL_MODERATE,True,True,True,True,False,10.08
Feel Seoul Good,Korean,Mitte,4.5,1439,PRICE_LEVEL_MODERATE,True,True,True,False,True,10.08
NaNum,Korean,Mitte,4.8,330,NO_PRICE_DATA,False,False,True,True,False,10.08
Ssam Original Korean Barbeque,Korean,Mitte,4.4,2022,PRICE_LEVEL_MODERATE,True,True,True,False,False,10.08
Shakko Makko Kaffee&Frühstück& Mittagessen&Abend Essen,Korean,Mitte,4.9,437,NO_PRICE_DATA,True,True,True,True,False,10.08
Maru Restaurant,Korean,Friedrichshain-Kreuzberg,4.6,896,PRICE_LEVEL_MODERATE,True,True,True,False,True,14.385
Mmaah - Eat Korean!,Korean,Friedrichshain-Kreuzberg,4.6,1000,PRICE_LEVEL_MODERATE,True,True,True,False,False,14.385
MOIM - PO:CHA 모임포차 (Friedrichshain),Korean,Friedrichshain-Kreuzberg,4.7,218,NO_PRICE_DATA,True,True,True,False,False,14.385
Mmaah - Eat Korean!,Korean,Friedrichshain-Kreuzberg,4.7,511,NO_PRICE_DATA,True,True,True,True,True,14.385
Gochugang - K-Chicken - Korean Fried Chicken,Korean,Friedrichshain-Kreuzberg,4.4,64,NO_PRICE_DATA,True,True,True,False,False,14.385
Crazy Kims,Korean,Friedrichshain-Kreuzberg,4.4,199,NO_PRICE_DATA,True,False,True,False,False,14.385
SongSong Chicken,Korean,Friedrichshain-Kreuzberg,4.9,423,NO_PRICE_DATA,True,False,True,False,False,14.385
bbq Chicken Berlin-Kreuzberg,Korean,Friedrichshain-Kreuzberg,4.8,147,NO_PRICE_DATA,True,True,True,False,False,14.385
Gogi Boss,Korean,Friedrichshain-Kreuzberg,4.1,647,NO_PRICE_DATA,True,True,True,False,False,14.385
KYO Grill,Korean,Friedrichshain-Kreuzberg,4.9,116,NO_PRICE_DATA,True,True,True,False,False,14.385
Chợ Dông,Korean,Friedrichshain-Kreuzberg,4.4,811,PRICE_LEVEL_MODERATE,True,True,True,True,False,14.385
Miu Sushi Kreuzberg,Korean,Friedrichshain-Kreuzberg,4.9,33,NO_PRICE_DATA,True,True,True,False,False,14.385
Angry Chicken,Korean,Friedrichshain-Kreuzberg,4.2,2213,PRICE_LEVEL_MODERATE,True,True,True,False,False,14.385
Mmaah - Eat Korean!,Korean,Friedrichshain-Kreuzberg,4.5,750,PRICE_LEVEL_MODERATE,True,True,True,True,True,14.385
Potato Planet,Korean,Friedrichshain-Kreuzberg,5.0,120,NO_PRICE_DATA,True,True,True,True,False,14.385
Soul Kitchen House Berlin,Korean,Friedrichshain-Kreuzberg,4.9,46,NO_PRICE_DATA,True,False,True,False,True,14.385
Mokja Restaurant,Korean,Friedrichshain-Kreuzberg,4.6,83,NO_PRICE_DATA,True,True,True,False,False,14.385
Juki,Korean,Pankow,4.1,650,PRICE_LEVEL_MODERATE,True,True,True,True,False,4.111
Core,Korean,Pankow,4.5,267,PRICE_LEVEL_INEXPENSIVE,True,True,True,False,False,4.111
Mmaah - Eat Korean!,Korean,Pankow,4.3,247,NO_PRICE_DATA,True,True,True,True,False,4.111
Wondeo Chikin - Korean Fried Chicken Halal,Korean,Pankow,4.7,50,NO_PRICE_DATA,True,True,True,False,False,4.111
Dotori - Korean Anju Bar,Korean,Pankow,4.8,269,NO_PRICE_DATA,True,False,True,False,True,4.111
FrostBeule - Eisdiele am Arnimplatz,Korean,Pankow,5.0,29,NO_PRICE_DATA,True,True,True,False,False,4.111
chanchanchan,Korean,Pankow,4.7,253,NO_PRICE_DATA,True,False,True,False,False,4.111
Guten Dag – Korean Fried Chicken,Korean,Pankow,4.3,984,PRICE_LEVEL_MODERATE,True,True,True,False,False,4.111
Min Asian Cuisine,Korean,Pankow,4.9,84,NO_PRICE_DATA,True,True,True,True,False,4.111
amatō,Korean,Pankow,4.7,213,NO_PRICE_DATA,True,True,True,False,False,4.111
K-BOK Korean Fried Chicken,Korean,Pankow,4.7,201,NO_PRICE_DATA,True,False,True,False,False,4.111
Gelateria Luna Chiara,Korean,Pankow,4.7,23,NO_PRICE_DATA,True,False,True,False,False,4.111
Mannam Restaurant&Kunstraum,Korean,Charlottenburg-Wilmersdorf,4.8,105,NO_PRICE_DATA,True,True,True,False,True,5.303
LA Kalbi Haus,Korean,Charlottenburg-Wilmersdorf,4.4,264,PRICE_LEVEL_MODERATE,True,False,True,True,False,5.303
Kimchi Mama korean BBQ,Korean,Charlottenburg-Wilmersdorf,4.7,555,PRICE_LEVEL_MODERATE,True,False,True,True,False,5.303
hängbok restaurant,Korean,Charlottenburg-Wilmersdorf,4.7,193,PRICE_LEVEL_MODERATE,True,True,True,False,True,5.303
Mmaah - Eat Korean!,Korean,Charlottenburg-Wilmersdorf,4.5,720,NO_PRICE_DATA,True,True,True,False,False,5.303
Buchcafé,Korean,Charlottenburg-Wilmersdorf,4.6,335,NO_PRICE_DATA,True,True,True,False,False,5.303
44 CHKN - Korean Fried Chicken,Korean,Charlottenburg-Wilmersdorf,4.4,390,NO_PRICE_DATA,True,True,True,False,False,5.303
"oh my bap Freie Universität (Thielplatz)(u3), koreanische küche/ fried chicken",Korean,Charlottenburg-Wilmersdorf,4.6,163,NO_PRICE_DATA,True,True,True,True,False,5.303
Chibo Westend,Korean,Charlottenburg-Wilmersdorf,4.4,31,NO_PRICE_DATA,True,True,True,False,False,5.303
Kooks Kochen,Korean,Charlottenburg-Wilmersdorf,4.8,563,NO_PRICE_DATA,True,False,True,False,True,5.303
Matzip Arirang 맛집 아리랑,Korean,Charlottenburg-Wilmersdorf,4.5,488,NO_PRICE_DATA,True,False,True,True,False,5.303
Seoul-Kwan,Korean,Charlottenburg-Wilmersdorf,4.5,880,PRICE_LEVEL_MODERATE,True,True,True,True,True,5.303
Bab & Kimchi,Korean,Charlottenburg-Wilmersdorf,4.6,554,PRICE_LEVEL_MODERATE,True,True,True,False,False,5.303
Coreana,Korean,Charlottenburg-Wilmersdorf,4.7,1114,PRICE_LEVEL_MODERATE,True,False,True,True,False,5.303
DaBangg,Korean,Charlottenburg-Wilmersdorf,4.8,425,PRICE_LEVEL_MODERATE,True,False,True,False,False,5.303
MOAMOA Café & koreanische Esskultur,Korean,Charlottenburg-Wilmersdorf,4.8,344,PRICE_LEVEL_MODERATE,True,True,True,True,False,5.303
Subarashi Berlin,Korean,Charlottenburg-Wilmersdorf,4.0,336,NO_PRICE_DATA,True,True,True,False,False,5.303
Maecom Dalcom,Korean,Charlottenburg-Wilmersdorf,4.9,120,NO_PRICE_DATA,True,True,True,False,False,5.303
NU RESTAURANT,Korean,Charlottenburg-Wilmersdorf,4.6,1264,PRICE_LEVEL_MODERATE,True,True,True,False,False,5.303
Smoky Bite,Korean,Charlottenburg-Wilmersdorf,4.9,1155,NO_PRICE_DATA,True,True,True,False,True,5.303
Chibo,Korean,Charlottenburg-Wilmersdorf,4.7,102,NO_PRICE_DATA,True,True,True,False,False,5.303
JaVi 92 Restaurant,Korean,Spandau,4.8,220,NO_PRICE_DATA,True,True,True,False,False,2.798
Yummy - Sushi & Finest Asian Küche,Korean,Spandau,4.7,884,PRICE_LEVEL_MODERATE,True,True,True,False,False,2.798
Loco Chicken Spandau Altstadt,Korean,Spandau,4.6,23,NO_PRICE_DATA,True,True,True,False,False,2.798
Millefiori Eiscafé Trattoria,Korean,Spandau,4.4,1135,PRICE_LEVEL_MODERATE,True,False,True,True,False,2.798
Seoul Garden,Korean,Spandau,4.7,243,NO_PRICE_DATA,True,True,True,True,False,2.798
Akai Restaurant & Bar,Korean,Spandau,4.9,100,NO_PRICE_DATA,True,True,True,False,False,2.798
Domian - THE ASIA KITCHEN BBQ ART & SUSHI BAR,Korean,Spandau,4.6,260,PRICE_LEVEL_MODERATE,True,True,True,True,True,2.798
Kimchi Heim,Korean,Steglitz-Zehlendorf,4.8,468,PRICE_LEVEL_MODERATE,True,False,True,True,False,3.027
DAMSO Teehaus,Korean,Steglitz-Zehlendorf,4.9,351,PRICE_LEVEL_MODERATE,True,False,True,True,True,3.027
Korea Imbiss,Korean,Steglitz-Zehlendorf,4.9,137,NO_PRICE_DATA,True,False,True,False,False,3.027
Hieu Ha Restaurant,Korean,Steglitz-Zehlendorf,4.8,84,NO_PRICE_DATA,True,False,True,False,True,3.027
JMT - Jon Ma Taeng,Korean,Steglitz-Zehlendorf,2.2,29,NO_PRICE_DATA,False,True,True,False,False,3.027
Far East Express,Korean,Steglitz-Zehlendorf,4.9,296,NO_PRICE_DATA,True,False,True,True,False,3.027
Youn‘s Kitchen,Korean,Steglitz-Zehlendorf,5.0,11,NO_PRICE_DATA,True,True,True,False,False,3.027
Coco Burger,Korean,Steglitz-Zehlendorf,3.2,42,NO_PRICE_DATA,True,True,True,False,False,3.027
Softeis-Zeit,Korean,Steglitz-Zehlendorf,5.0,5,NO_PRICE_DATA,True,True,True,False,True,3.027
Chill Chill,Korean,Tempelhof-Schöneberg,5.0,13,NO_PRICE_DATA,True,True,True,False,False,6.708
Mmaah - Eat Korean!,Korean,Tempelhof-Schöneberg,4.5,798,PRICE_LEVEL_MODERATE,True,True,True,True,False,6.708
The Luftbrücke restaurant,Korean,Tempelhof-Schöneberg,4.6,281,PRICE_LEVEL_MODERATE,True,False,True,True,False,6.708
Quatre Deux,Korean,Tempelhof-Schöneberg,4.3,29,NO_PRICE_DATA,True,False,True,False,False,6.708
Vanille & Marille Tempelhof,Korean,Tempelhof-Schöneberg,4.6,814,PRICE_LEVEL_MODERATE,True,False,True,False,True,6.708
Ogam,Korean,Tempelhof-Schöneberg,4.6,467,PRICE_LEVEL_INEXPENSIVE,True,False,True,False,False,6.708
DogMong - 1st Korean Rice Corndog Brand,Korean,Neukölln,4.7,242,PRICE_LEVEL_INEXPENSIVE,True,False,True,True,False,7.345
Restaurant Paran,Korean,Neukölln,4.4,452,PRICE_LEVEL_MODERATE,True,True,True,False,False,7.345
BAN BAN KITCHEN,Korean,Neukölln,4.0,376,NO_PRICE_DATA,True,True,True,False,False,7.345
MOIM,Korean,Neukölln,5.0,3,NO_PRICE_DATA,True,True,True,False,False,7.345
Plus Acht Zwo (+82),Korean,Neukölln,4.4,136,NO_PRICE_DATA,True,True,True,False,False,7.345
