district,from,to,time,entrance
Tempelhof-Schöneberg,19.04.2025,21.04.2025,Sa 12-22 Uhr So 12-22 Uhr Mo 12-18 Uhr,Ja
Treptow-Köpenick,19.09.2025,21.09.2025,Fr 14-23 Uhr Sa 12-23 Uhr So 12-20 Uhr,Ja
Treptow-Köpenick,19.09.2025,21.09.2025,Fr 14-22 Uhr Sa 12-22 Uhr So 12-20 Uhr,Ja
Reinickendorf,19.09.2025,19.10.2025,"Montag und Dienstag geschlossen. Mittwoch und Donnerstag von 14 bis 22 Uhr, Freitag und Samstag von 14 bis 23 Uhr, Sonntag von 13 bis 22 Uhr.",Ja
Reinickendorf,20.06.2025,22.06.2025,Fr 14-22 Uhr Sa 12-22 Uhr So 12-20 Uhr,Ja
Lichtenberg,21.03.2025,23.03.2025,Fr 14-22 Uhr Sa 12-22 Uhr So 12-18 Uhr,Ja
Neukölln,21.06.2025,,14-22 Uhr,Ja
Pankow,23.05.2025,25.05.2025,Fr 17-22 Uhr Sa 12-22 Uhr So 12-20 Uhr,Ja
Mitte,23.05.2025,01.06.2025,11-22 Uhr,Ja
Tempelhof-Schöneberg,24.05.2025,,12-19 Uhr,"Ja, rollstuhlgerechter Zugang zum Festgelände, keine Gebärdendolmetscher"
Marzahn-Hellersdorf,25.04.2025,27.04.2025,Fr 14-22 Uhr Sa 12-22 Uhr So 12-18 Uhr,Ja
Reinickendorf,25.07.2025,17.08.2025,"Montag und Dienstag geschlossen. Mittwoch und Donnerstag von 14 bis 22 Uhr, Freitag und Samstag von 14 bis 23 Uhr, Sonntag von 13 bis 22 Uhr.",Ja
Mitte,28.03.2025,30.03.2025,Fr 14-22 Uhr Sa 12-22 Uhr So 12-18 Uhr,Ja
Friedrichshain-Kreuzberg,29.03.2025,30.03.2025,"Sa 12-20 Uhr 
So 12-18 Uhr",Ja
Reinickendorf,29.03.2025,04.05.2025,"Montag und Dienstag geschlossen. Mittwoch und Donnerstag von 14 bis 22 Uhr, Freitag und Samstag von 14 bis 23 Uhr, Sonntag von 13 bis 22 Uhr. Sonderöffnungen: Ostersonntag von 13 bis 23 Uhr, Ostermontag von 13 bis 22 Uhr, Dienstag, 22. April von 13 bis 22 Uhr, 1. Mai von 13 bis 22 Uhr. Karfreitag geschlossen.",Ja
Treptow-Köpenick,29.05.2025,01.06.2025,Fr 12-22 Uhr Sa 12-22 Uhr So 12-20 Uhr,Ja
Lichtenberg,29.05.2025,01.06.2025,12-22 Uhr,Ja
Tempelhof-Schöneberg,30.05.2025,01.06.2025,Fr 14-22 Uhr Sa 11-23 Uhr So 13-20 Uhr,"Ja, teilweise, geländebedingt"
